Time,Truth_x,Truth_y,AMCL_x,AMCL_y
"builtin_interfaces.msg.Time(sec=1701275023, nanosec=826245033)",7.000686074494611,7.339493658092983,6.946323009633131,7.2409826160700925
"builtin_interfaces.msg.Time(sec=1701275025, nanosec=381467191)",7.012527437920071,7.089829844810102,6.969211518083548,7.007653089662415
"builtin_interfaces.msg.Time(sec=1701275026, nanosec=987128505)",7.017410112513629,6.83751511154759,6.956078914014034,6.7671173866182865
"builtin_interfaces.msg.Time(sec=1701275028, nanosec=633080880)",7.026222275685394,6.5860711977784145,6.970539294467842,6.531724330637011
"builtin_interfaces.msg.Time(sec=1701275030, nanosec=454932521)",7.037763274251845,6.314841912651662,6.994100719170411,6.265881544664656
"builtin_interfaces.msg.Time(sec=1701275032, nanosec=79228566)",7.0363734262023865,6.061710286897874,6.988884472207433,6.017406188538523
"builtin_interfaces.msg.Time(sec=1701275033, nanosec=704270927)",7.021872803830267,5.809103580302911,6.992418733824863,5.770362003462348
"builtin_interfaces.msg.Time(sec=1701275035, nanosec=391054199)",6.999965170001989,5.557085496607676,6.978330386870546,5.523501850842665
"builtin_interfaces.msg.Time(sec=1701275036, nanosec=496175861)",6.958323519042723,5.381652246412623,6.944123970069758,5.366606698831678
"builtin_interfaces.msg.Time(sec=1701275037, nanosec=454030551)",6.889629533862411,5.244306096212884,6.898076975073385,5.235646194348886
"builtin_interfaces.msg.Time(sec=1701275038, nanosec=269943341)",6.809988039506908,5.145395790501233,6.811335424428582,5.143022448949134
"builtin_interfaces.msg.Time(sec=1701275039, nanosec=368053586)",6.690910774685936,5.050987918988594,6.666733576690879,5.050085594685589
"builtin_interfaces.msg.Time(sec=1701275041, nanosec=194987330)",6.441928866718826,4.924567502755782,6.401815820398384,4.928532414339952
"builtin_interfaces.msg.Time(sec=1701275043, nanosec=8048915)",6.177418725200916,4.840692419591478,6.146805208358757,4.853613889214366
"builtin_interfaces.msg.Time(sec=1701275044, nanosec=866765254)",5.903038833816555,4.774814794622564,5.878196182693184,4.804941536242631
"builtin_interfaces.msg.Time(sec=1701275046, nanosec=661945848)",5.634295927600836,4.706333635385849,5.607439110234273,4.746368227175599
"builtin_interfaces.msg.Time(sec=1701275048, nanosec=486178729)",5.361030207243677,4.637323788263346,5.342872193841897,4.677543347010168
"builtin_interfaces.msg.Time(sec=1701275050, nanosec=349649974)",5.08944016022028,4.567030359873966,5.0846960337498555,4.60841204803345
"builtin_interfaces.msg.Time(sec=1701275052, nanosec=119351470)",4.820332897920036,4.493145749852123,4.819711538106319,4.536769351225563
"builtin_interfaces.msg.Time(sec=1701275053, nanosec=873090907)",4.552106743777782,4.41423537547297,4.558539076525748,4.465671703111338
"builtin_interfaces.msg.Time(sec=1701275055, nanosec=687883118)",4.282485749800988,4.341348171516666,4.295434370784648,4.392012470259
"builtin_interfaces.msg.Time(sec=1701275057, nanosec=529112849)",4.013907748194044,4.26780080009811,4.013099610311876,4.3259721521473375
"builtin_interfaces.msg.Time(sec=1701275059, nanosec=362102527)",3.742148992128696,4.207688120805214,3.743787403471329,4.26682380806917
"builtin_interfaces.msg.Time(sec=1701275061, nanosec=69903952)",3.4909254529830847,4.170518205255779,3.5047642981533382,4.225618868325021
"builtin_interfaces.msg.Time(sec=1701275062, nanosec=650489599)",3.236670159131813,4.129414881533027,3.236373029918202,4.176357101175434
"builtin_interfaces.msg.Time(sec=1701275064, nanosec=251517113)",2.988641285065133,4.078853057434554,2.9837341440633676,4.14462605159089
"builtin_interfaces.msg.Time(sec=1701275066, nanosec=203510015)",2.7185580073814584,3.997152391848047,2.6978744868998588,4.073247669684552
"builtin_interfaces.msg.Time(sec=1701275067, nanosec=940965261)",2.45518843556668,3.8984387635035698,2.426187236858636,3.9555437676036576
"builtin_interfaces.msg.Time(sec=1701275069, nanosec=800404156)",2.1906135336790755,3.805018857813463,2.19080065499038,3.8476536208977397
"builtin_interfaces.msg.Time(sec=1701275071, nanosec=608773141)",1.9255528155015635,3.7165689340254073,1.9404870665516152,3.764415178003216
"builtin_interfaces.msg.Time(sec=1701275073, nanosec=420208651)",1.6628734304325692,3.606443668639428,1.6820578576789762,3.6362811078842285
"builtin_interfaces.msg.Time(sec=1701275075, nanosec=327917463)",1.4051463485474762,3.439464308206581,1.4468545226728036,3.4504586336437657
"builtin_interfaces.msg.Time(sec=1701275077, nanosec=710166462)",1.1444334207900373,3.1917310071050595,1.2102388186235478,3.185377182680552
"builtin_interfaces.msg.Time(sec=1701275079, nanosec=897088080)",0.9261084229939152,2.9393781550737685,0.9997116819718321,2.9217517224606224
"builtin_interfaces.msg.Time(sec=1701275082, nanosec=41412168)",0.7150107984494788,2.6784614173897676,0.815806820518188,2.6167841481235383
"builtin_interfaces.msg.Time(sec=1701275084, nanosec=249721749)",0.5119339230857097,2.4165580857253124,0.6219466215366861,2.330766802844337
"builtin_interfaces.msg.Time(sec=1701275085, nanosec=733785414)",0.4027020459900161,2.214268271216304,0.507710837861499,2.1284587644585633
"builtin_interfaces.msg.Time(sec=1701275087, nanosec=114020495)",0.34774562472117515,2.022416686785802,0.45263033300265143,1.939054595181545
"builtin_interfaces.msg.Time(sec=1701275088, nanosec=741191379)",0.3312617331321097,1.7687979312236595,0.4664080673077591,1.6952119609346312
"builtin_interfaces.msg.Time(sec=1701275090, nanosec=363663129)",0.3392310470403815,1.5168921269786957,0.47272918571696115,1.462954624685521
"builtin_interfaces.msg.Time(sec=1701275091, nanosec=755210019)",0.3208611010269016,1.2855736316584676,0.45527286945189316,1.2719924746230622
